Data,Ora,price,date,datetime
01/01/2018,1,45.73,2018-01-01,2018-01-01T01:00:00.000000+0100
01/01/2018,2,44.16,2018-01-01,2018-01-01T02:00:00.000000+0100
01/01/2018,3,42.24,2018-01-01,2018-01-01T03:00:00.000000+0100
01/01/2018,4,39.29,2018-01-01,2018-01-01T04:00:00.000000+0100
01/01/2018,5,36.0,2018-01-01,2018-01-01T05:00:00.000000+0100
01/01/2018,6,41.99,2018-01-01,2018-01-01T06:00:00.000000+0100
01/01/2018,7,42.25,2018-01-01,2018-01-01T07:00:00.000000+0100
01/01/2018,8,44.97,2018-01-01,2018-01-01T08:00:00.000000+0100
01/01/2018,9,45.0,2018-01-01,2018-01-01T09:00:00.000000+0100
01/01/2018,10,44.94,2018-01-01,2018-01-01T10:00:00.000000+0100
01/01/2018,11,45.04,2018-01-01,2018-01-01T11:00:00.000000+0100
01/01/2018,12,46.67,2018-01-01,2018-01-01T12:00:00.000000+0100
01/01/2018,13,46.99,2018-01-01,2018-01-01T13:00:00.000000+0100
01/01/2018,14,44.16,2018-01-01,2018-01-01T14:00:00.000000+0100
01/01/2018,15,45.26,2018-01-01,2018-01-01T15:00:00.000000+0100
01/01/2018,16,47.84,2018-01-01,2018-01-01T16:00:00.000000+0100
01/01/2018,17,49.7,2018-01-01,2018-01-01T17:00:00.000000+0100
01/01/2018,18,54.3,2018-01-01,2018-01-01T18:00:00.000000+0100
01/01/2018,19,51.91,2018-01-01,2018-01-01T19:00:00.000000+0100
01/01/2018,20,51.38,2018-01-01,2018-01-01T20:00:00.000000+0100
01/01/2018,21,49.2,2018-01-01,2018-01-01T21:00:00.000000+0100
01/01/2018,22,45.73,2018-01-01,2018-01-01T22:00:00.000000+0100
01/01/2018,23,44.84,2018-01-01,2018-01-01T23:00:00.000000+0100
01/01/2018,24,38.11,2018-01-01,2018-01-02T00:00:00.000000+0100
02/01/2018,1,19.19,2018-01-02,2018-01-02T01:00:00.000000+0100
02/01/2018,2,14.99,2018-01-02,2018-01-02T02:00:00.000000+0100
02/01/2018,3,11.0,2018-01-02,2018-01-02T03:00:00.000000+0100
02/01/2018,4,10.0,2018-01-02,2018-01-02T04:00:00.000000+0100
02/01/2018,5,11.83,2018-01-02,2018-01-02T05:00:00.000000+0100
02/01/2018,6,14.99,2018-01-02,2018-01-02T06:00:00.000000+0100
02/01/2018,7,40.6,2018-01-02,2018-01-02T07:00:00.000000+0100
